graph_id,graph_node,connection_data
1,7,"[(0, 6), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]"
2,7,"[(0, 5), (0, 6), (1, 6), (2, 6), (3, 6), (4, 6)]"
3,7,"[(0, 5), (0, 6), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]"
4,7,"[(0, 5), (1, 5), (2, 6), (3, 6), (4, 6), (5, 6)]"
5,7,"[(0, 5), (0, 6), (1, 5), (2, 6), (3, 6), (4, 6)]"
6,7,"[(0, 5), (0, 6), (1, 5), (2, 6), (3, 6), (4, 6), (5, 6)]"
7,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6)]"
8,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]"
9,7,"[(0, 5), (0, 6), (1, 5), (2, 5), (3, 6), (4, 6)]"
10,7,"[(0, 5), (0, 6), (1, 5), (2, 5), (3, 6), (4, 6), (5, 6)]"
11,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6)]"
12,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6), (5, 6)]"
13,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6)]"
14,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)]"
15,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (4, 6)]"
16,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (4, 6), (5, 6)]"
17,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 6)]"
18,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 6), (5, 6)]"
19,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 5), (4, 6)]"
20,7,"[(0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
21,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6)]"
22,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6)]"
23,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]"
24,7,"[(0, 4), (0, 6), (1, 5), (2, 5), (3, 6), (5, 6)]"
25,7,"[(0, 4), (0, 6), (1, 5), (2, 5), (3, 6), (4, 6), (5, 6)]"
26,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6)]"
27,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (5, 6)]"
28,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6)]"
29,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6), (5, 6)]"
30,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6)]"
31,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (5, 6)]"
32,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6)]"
33,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)]"
34,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (3, 5), (4, 6)]"
35,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (3, 5), (4, 6), (5, 6)]"
36,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5)]"
37,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (5, 6)]"
38,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (4, 6)]"
39,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (4, 6), (5, 6)]"
40,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6)]"
41,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (5, 6)]"
42,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 6)]"
43,7,"[(0, 4), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 6), (5, 6)]"
44,7,"[(0, 4), (0, 5), (0, 6), (1, 6), (2, 6), (3, 6), (4, 5)]"
45,7,"[(0, 4), (0, 5), (0, 6), (1, 6), (2, 6), (3, 6), (4, 5), (4, 6)]"
46,7,"[(0, 4), (0, 5), (0, 6), (1, 6), (2, 6), (3, 6), (4, 5), (4, 6), (5, 6)]"
47,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 6), (3, 6)]"
48,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6)]"
49,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (2, 6), (3, 6), (5, 6)]"
50,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (2, 6), (3, 6), (4, 6)]"
51,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6)]"
52,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (5, 6)]"
53,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6)]"
54,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]"
55,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (2, 6), (3, 6), (4, 5), (4, 6)]"
56,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (2, 6), (3, 6), (4, 5), (4, 6), (5, 6)]"
57,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 5)]"
58,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 5), (5, 6)]"
59,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 5), (4, 6)]"
60,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 6), (3, 6), (4, 5), (4, 6), (5, 6)]"
61,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6)]"
62,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6), (5, 6)]"
63,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6)]"
64,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)]"
65,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (2, 5), (3, 6), (4, 6), (5, 6)]"
66,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (5, 6)]"
67,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6)]"
68,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 6), (5, 6)]"
69,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6)]"
70,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (5, 6)]"
71,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6)]"
72,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)]"
73,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 5), (4, 6)]"
74,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
75,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 5), (4, 6)]"
76,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 6), (4, 5), (4, 6), (5, 6)]"
77,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 6)]"
78,7,"[(0, 4), (0, 5), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6), (4, 6), (5, 6)]"
79,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (4, 6)]"
80,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (4, 6), (5, 6)]"
81,7,"[(0, 4), (0, 5), (0, 6), (1, 5), (1, 6), (2, 5), (2, 6), (3, 5), (3, 6)]"
