graph_id,graph_node,connection_data
1,5,"[(0, 4), (1, 4), (2, 4), (3, 4)]"
2,5,"[(0, 3), (0, 4), (1, 4), (2, 4)]"
3,5,"[(0, 3), (0, 4), (1, 4), (2, 4), (3, 4)]"
4,5,"[(0, 3), (0, 4), (1, 3), (2, 4), (3, 4)]"
5,5,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 4)]"
6,5,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (3, 4)]"
7,5,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 3), (2, 4)]"
8,5,"[(0, 3), (0, 4), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]"
9,5,"[(0, 2), (0, 4), (1, 3), (1, 4)]"
10,5,"[(0, 2), (0, 4), (1, 3), (1, 4), (2, 4)]"
11,5,"[(0, 2), (0, 4), (1, 3), (1, 4), (2, 4), (3, 4)]"
12,5,"[(0, 2), (0, 3), (0, 4), (1, 4), (2, 3), (2, 4)]"
13,5,"[(0, 2), (0, 3), (0, 4), (1, 4), (2, 3), (2, 4), (3, 4)]"
14,5,"[(0, 2), (0, 3), (1, 3), (1, 4), (2, 4)]"
15,5,"[(0, 2), (0, 3), (0, 4), (1, 3), (1, 4), (2, 4)]"
16,5,"[(0, 2), (0, 3), (0, 4), (1, 3), (1, 4), (2, 4), (3, 4)]"
17,5,"[(0, 2), (0, 3), (0, 4), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]"
18,5,"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 4)]"
19,5,"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 4), (3, 4)]"
20,5,"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]"
21,5,"[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]"
